Id,Label,Description,Section,Terms,Cardinality,Datatype,Pattern,Unit,Enumeration,MissingValueCodes,Notes,Provenance,SeeAlso
dht_identity,What is global identifier of participant?,"The `dht_identity` data element records response to the prompt, _""What is global identifier of participant?""_.

Values for this data element are strings that are restricted to the list of 1 permissible string values.

",Identity,,single,string,,,"""Text: May be combination of prefix text""=[letters, numbers, and separator characters]",,,RADx-DHT DCC,
dht_race,What is your race? Mark one or more boxes,"The `dht_race` data element records response to the prompt, _""What is your race? Mark one or more boxes""_.

Values for this data element are integers that are restricted to the list of 10 permissible integer values.

",Race,,single,integer,,,"""1""=[American Indian or Alaska Native]|""2""=[Asian]|""3""=[Black or African American]|""4""=[Middle Eastern or North African]|""5""=[Native Hawaiian or Other Pacific Islander]|""6""=[White]|""7""=[Two or more races]|""8""=[Some other race]|""98""=[Don't know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_ethnicity_origin,Are you of Hispanic or Latino origin?             ,"The `dht_ethnicity_origin` data element records response to the prompt, _""Are you of Hispanic or Latino origin?             ""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Ethnicity,,single,integer,,,"""0""=[No, not of Hispanic or Latino origin]|""1""=[Yes, of Hispanic or Latino origin]|""98""=[Don't know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_age,What is your age?,"The `dht_age` data element records response to the prompt, _""What is your age?""_.

Values for this data element are strings that are restricted to the list of 2 permissible string values.

",Age,,single,string,,,"""Age in years""=[Age in years]|""de-identification per RADx guideline""=[de-identification per RADx guideline]",,,RADx-DHT DCC,
dht_sex,What is your biological sex assigned at birth?,"The `dht_sex` data element records response to the prompt, _""What is your biological sex assigned at birth?""_.

Values for this data element are integers that are restricted to the list of 5 permissible integer values.

",Sex,,single,integer,,,"""1""=[Female]|""2""=[Male]|""3""=[Intersex]|""4""=[None of the above describe me]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_education,How many years of education have you completed?,"The `dht_education` data element records response to the prompt, _""How many years of education have you completed?""_.

Values for this data element are integers that are restricted to the list of 13 permissible integer values.

",Education Level,,single,integer,,,"""1""=[No formal schooling]|""2""=[Some school, but did not graduate high school]|""3""=[High school diploma or equivalency (e.g., GED)]|""4""=[Associate degree (e.g., junior college)]|""5""=[Associate Degree (vocational)]|""6""=[Some college, but did not graduate college]|""7""=[Bachelor's degree]|""8""=[Master's degree]|""9""=[Doctorate (PhD)]|""10""=[Professional doctorate (MD, JD, DDS, etc.)]|""11""=[Other]|""98""=[Don't know]|""99""=[Prefer not to state]",,,RADx-DHT DCC,
dht_domicile,What is your zip code?,"The `dht_domicile` data element records response to the prompt, _""What is your zip code?""_.

Values for this data element are strings that are restricted to the list of 1 permissible string values.

",Domicile,,single,string,,,"""Included per HIPAA de-identification guidelines""=[Included per HIPAA de-identification guidelines]",,,RADx-DHT DCC,
dht_employment,Are you employed?,"The `dht_employment` data element records response to the prompt, _""Are you employed?""_.

Values for this data element are integers that are restricted to the list of 14 permissible integer values.

",Employment,,single,integer,,,"""0""=[Yes - Employed]|""2""=[Employed full time]|""3""=[Employed part-time]|""5""=[Employed in temporary position]|""6""=[No - Not Employed]|""7""=[Only temporarily laid off, sick leave, or maternity leave]|""8""=[Looking for work, unemployed]|""9""=[Student]|""10""=[Keeping house]|""11""=[Retired]|""13""=[Disabled or government support]|""97""=[Other]|""98""=[Don't know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_medical_insurance_short,What insurance do you have?,"The `dht_medical_insurance_short` data element records response to the prompt, _""What insurance do you have?""_.

Values for this data element are integers that are restricted to the list of 5 permissible integer values.

",Insurance Status,,single,integer,,,"""1""=[No insurance]|""2""=[Private/Personal Insurance]|""3""=[Public Insurance]|""98""=[Don't Know]|""99""=[Prefer not to state]",,,RADx-DHT DCC,
dht_disability,"Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?","The `dht_disability` data element records response to the prompt, _""Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Disability Status,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_deaf,Are you deaf or do you have serious difficulty hearing?,"The `dht_deaf` data element records response to the prompt, _""Are you deaf or do you have serious difficulty hearing?""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Disability Status,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_blind,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","The `dht_blind` data element records response to the prompt, _""Are you blind or do you have serious difficulty seeing, even when wearing glasses?""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Disability Status,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_memory,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","The `dht_memory` data element records response to the prompt, _""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Disability Status,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
dht_walk_climb,Do you have serious difficulty walking or climbing stairs?,"The `dht_walk_climb` data element records response to the prompt, _""Do you have serious difficulty walking or climbing stairs?""_.

Values for this data element are integers that are restricted to the list of 4 permissible integer values.

",Disability Status,,single,integer,,,"""0""=[No]|""1""=[Yes]|""98""=[Don’t know]|""99""=[Prefer not to answer]",,,RADx-DHT DCC,
