Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,consent,,text,Record ID,,,,,,,,,,,,,
consent_given,consent,Consent,radio,Is consent required for this study?,"1,Yes, consent is required for this study| 0, No, Consent is not required/is waived for this study",,,,,,,,,,,,Variable is optional based on study design.
consentdt_mdy,consent,,text,Date of Consent,,MM/DD/YYYY,date_mdy,1/1/1900,,,[consent_given] = '1',,,,,,Note: Maximum expected day = Current day. Variable is optional based on study design. 
consent_ident,consent,,radio,"I agree to let the Duke Clinical Research Institute collect the following identifiable information: name, address, contact information, and date of birth.      ","1, Yes | 0, No",This is to enable linkage of deidentified data.,,,,,[consent_given] = '1',,RH,,,,For consent forms that include these named identifiers. Variable is optional based on study design.
consent_zip_2,consent,,radio,I agree to let the Duke Clinical Research Institute collect my zip code.,"1, Yes | 0, No",,,,,,[consent_given] = '1' and [consent_ident] = '0',,RH,,,,For consent forms that include zip code. Variable is optional based on study design.
consent_recontact,consent,,radio,I agree to be contacted for future research. ,"1, Yes | 0, No",,,,,,[consent_given] = '1',,RH,,,,For consent forms that include recontact for future research. Variable is optional based on study design.
current_county,location,,text,County,,,,,,,,,,,,,To match with Census data
zip_code,location,,text,Zip Code,,,zipcode,,,,,,,,,,PX010801.  Only one of zip_code or zip_code_3digit needs to be collected for tier 1 compliance.
sociodem_date_mdy,sociodemographics,,text,Date of Sociodemographic Data Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
race_ethn_race,sociodemographics,Demographics,checkbox,"What is your race?

Mark one or more boxes.","1, American Indian or Alaska Native | 2, Black or African American | 3, Asian | 4, Native Hawaiian or  Other Pacific Islander |5, White|15, Some other race |99, Prefer not to answer",Check all that apply,,,,,,,,,,," @NONEOFTHEABOVE = '99' PX011901| https://www.phenxtoolkit.org/protocols/view/11901 | U.S. Census Bureau, Census 2020, Questionnaire | Reduced to OMB + specifiy, added 99, Prefer not to answer"
race_ethn_asian_detail_3,sociodemographics,,checkbox,,"6, Asian Indian | 7, Bangladeshi | 8, Bhutanese | 9, Burmese | 10, Cambodian | 3, Chinese, except Taiwanese | 2, Filipino | 11, Hmong | 12, Indonesian | 1, Japanese | 4, Korean | 13, Laotian | 14, Malaysian | 15, Mongolian | 16, Nepalese | 17, Okinawan | 18, Pakistani | 19, Sri Lankan | 20, Taiwanese | 21, Thai | 22, Vietnamese | 5, Other Asian | 99, Prefer not to answer",Check all that apply,,,,,[race_ethn_race(3)] = '1',,,,,, @NONEOFTHEABOVE = '99' | detail from RADx-UP projects
race_ethn_islander_detail_2,sociodemographics,,checkbox,,"1, Native Hawaiian | 2, Pacific Islander | 3, Samoan  | 4,  Tongan  | 5, Maori  | 6, Fijian | 7, Chamorro | 8, Chuukese | 9, Kosraen | 10, Marshallese | 11, Palauan | 12, Pohnpeian | 13, Yapese  | 14, Other Pacific Islander |99, Prefer not to answer",Check all that apply,,,,,[race_ethn_race(4)] = '1',,,,,, @NONEOFTHEABOVE = '99' | detail from RADx-UP projects
race_ethn_orig_other,sociodemographics,,text,Specify other origin.,,,,,,,[race_ethn_race(15)] = '1',,,,,,"PX011901| https://www.phenxtoolkit.org/protocols/view/11901 | U.S. Census Bureau, Census 2020, Questionnaire"
race_ethn_hispanic,sociodemographics,,radio,"Are you of Hispanic, Latino, or Spanish origin?","0, No, not of Hispanic, Latino, or Spanish origin | 1, Yes, of Hispanic, Latino, or Spanish origin | 99, Prefer not to answer",,,,,,,,,,,,"PX011901| https://www.phenxtoolkit.org/protocols/view/11901 | U.S. Census Bureau, Census 2020, Questionnaire | Reduced to OMB, Added 99, Prefer not to answer"
