Id,Label,Description,Section,Cardinality,Terms,Datatype,Pattern,Unit,Enumeration,MissingValueCodes,Notes,Provenance,SeeAlso
nih_record_id,User ID,"The `nih_record_id` variable records responses to the prompt, or a congruently meaning prompt, ""User ID"".  Equivalent prompts are: 

- ""Record ID"" (RADx-UP)
- ""User ID"" (RADx-Tech)
- ""What is global identifier of participant?"" (RADx-DHT)

The values for this variable are strings.

The `nih_record_id` data element is the result of the harmonization of other RADx program data elements: `record_id` (RADx-UP); `record_id` (RADx-rad); `user_id` (RADx-Tech); `dht_identity` (RADx-DHT)
",Identity,single,,string,,,,,,,
nih_race,What is your race?,"The `nih_race` variable records responses to the prompt, or a congruently meaning prompt, ""What is your race?"".  Equivalent prompts are: 

- ""What is your race? Mark one or more boxes. (Check all that apply)"" (RADx-UP)
- ""What is your race? Mark one or more boxes."" (RADx-rad)
- ""Black"" (RADx-Tech), - ""White"" (RADx-Tech), - ""Asian"" (RADx-Tech), - ""Pacific Islander"" (RADx-Tech), - ""American Indian"" (RADx-Tech), - ""Other"" (RADx-Tech), - ""Don't know"" (RADx-Tech)
- ""What is your race? Mark one or more boxes"" (RADx-DHT)

The values for this variable are integers that come from a list of 10 permissible integer values.

The `nih_race` data element is the result of the harmonization of other RADx program data elements: `race_ethn_race` (RADx-UP); `race` (RADx-rad); `race_black`, `race_white`, `race_asian`, `race_pacisl`, `race_amind`, `race_other`, `race_dk` (RADx-Tech); `dht_race` (RADx-DHT)
",Race,multiple,GSSO:002199,integer,,,"""0""=[American Indian or Alaska Native] |
""1""=[Black or African American] |
""2""=[Asian] |
""3""=[Native Hawaiian or Other Pacific Islander] |
""4""=[White] |
""5""=[Middle Eastern or North African] |
""6""=[Two or more races] |
""97""=[Some other race] |
""98""=[Do not know] |
""99""=[Prefer not to answer]",,,,
nih_ethnicity,Are you of Hispanic or Latino origin? May include Spanish origin.,"The `nih_ethnicity` variable records responses to the prompt, or a congruently meaning prompt, ""Are you of Hispanic or Latino origin? May include Spanish origin."".  Equivalent prompts are: 

- ""Are you of Hispanic, Latino, or Spanish origin?"" (RADx-UP)
- ""Are you of Hispanic or Latino origin?"" (RADx-rad)
- ""Are you of Hispanic or Latino origin?"" (RADx-Tech)
- ""Are you of Hispanic or Latino origin? "" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_ethnicity` data element is the result of the harmonization of other RADx program data elements: `race_ethn_hispanic` (RADx-UP); `ethnicity` (RADx-rad); `ethnicity` (RADx-Tech); `dht_ethnicity_origin` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Ethnicity,single,NCIT:C16564,integer,,,"""0""=[No, not of Hispanic or Latino origin] |
""1""=[Yes, of Hispanic or Latino origin] |
""97""=[Other] |
""98""=[Don't Know] |
""99""=[Prefer not to answer]",,,,
nih_age,What is your age?,"The `nih_age` variable records responses to the prompt, or a congruently meaning prompt, ""What is your age?"".  Equivalent prompts are: 

- ""Age For babies less than 1 year old, do not write the age in months. Write 0 as the age. (Years)"" (RADx-UP)
- ""What is your age? (Age in years. For babies less than 1 year old, write 0 as the age)"" (RADx-rad)
- ""Age"" (RADx-Tech)
- ""What is your age?"" (RADx-DHT)

The values for this variable are integers.

The `nih_age` data element is the result of the harmonization of other RADx program data elements: `age_yrs` (RADx-UP); `age` (RADx-rad); `age_at_registration` (RADx-Tech); `dht_age` (RADx-DHT)
",Age,single,PATO:0000011,integer,,year,,,,,
nih_sex,What is your biological sex assigned at birth?,"The `nih_sex` variable records responses to the prompt, or a congruently meaning prompt, ""What is your biological sex assigned at birth?"".  Equivalent prompts are: 

- ""What was your sex assigned at birth on your birth certificate?"" (RADx-UP)
- ""What is your biological sex assigned at birth?"" (RADx-rad)
- ""Gender"" (RADx-Tech)
- ""What is your biological sex assigned at birth?"" (RADx-DHT)

The values for this variable are integers that come from a list of 6 permissible integer values.

The `nih_sex` data element is the result of the harmonization of other RADx program data elements: `bio_sex_birth` (RADx-UP); `sex` (RADx-rad); `sex` (RADx-Tech); `dht_sex` (RADx-DHT)

Note that the meaning of the value `96` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `96` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Sex,single,PATO:0000047,integer,,,"""0""=[Female] |
""1""=[Male] |
""2""=[Intersex] |
""3""=[Non-binary] |
""96""=[None of these describe me] |
""99""=[Prefer not to answer]",,,,
nih_education,What is the highest level of education you have achieved outside or in the United States?,"The `nih_education` variable records responses to the prompt, or a congruently meaning prompt, ""What is the highest level of education you have achieved outside or in the United States?"".  Equivalent prompts are: 

- ""What is the highest level of education you have achieved outside or in the United States? Grades roughly equivalent to years of school."" (RADx-UP)
- ""What is the highest grade or level of school you have completed or the highest degree you have received?"" (RADx-Tech)
- ""How many years of education have you completed?"" (RADx-DHT)

The values for this variable are integers that come from a list of 9 permissible integer values.

The `nih_education` data element is the result of the harmonization of other RADx program data elements: `edu_years_of_school` (RADx-UP); `education` (RADx-Tech); `dht_education` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Education Level,single,NCIT:C17953,integer,,,"""0""=[Have never gone to school] |
""1""=[Some school (Includes any education received below highschool graduate level)] |
""2""=[High school graduate or GED completed] |
""3""=[Some college (graduated or not) associates degree,technical degree,or vocational degree] |
""4""=[Bachelor's degree] |
""5""=[Other advanced degree (Master's,Doctorate or Professional Doctorate)] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
nih_education_yrs,How many years of education have you completed?,"The `nih_education_yrs` variable records responses to the prompt ""How many years of education have you completed?"".The values for this variable are decimals.

The `nih_education_yrs` data element is the result of the harmonization of other RADx program data elements: `education` (RADx-rad)
",Education Years,single,NCIT:C122393,decimal,,year,,,,,
nih_zip,What is your zip code?,"The `nih_zip` variable records responses to the prompt, or a congruently meaning prompt, ""What is your zip code?"".  Equivalent prompts are: 

- ""Zip Code"" (RADx-UP)
- ""Zip or Postal Code: (De-Identified zip code)"" (RADx-rad)
- ""Zipcode"" (RADx-Tech)
- ""What is your zip code?"" (RADx-DHT)

The values for this variable are strings.

The `nih_zip` data element is the result of the harmonization of other RADx program data elements: `zip_code` (RADx-UP); `zip` (RADx-rad); `zip` (RADx-Tech); `dht_domicile` (RADx-DHT)
",Domicile,single,"NCIT:C25720
NCIT:C25621",string,,,,,,,
nih_employment,Please specify your employment status.,"The `nih_employment` variable records responses to the prompt, or a congruently meaning prompt, ""Please specify your employment status."".  Equivalent prompts are: 

- ""We would like to know about what you do -- are you working now, looking for work, retired, keeping house, a student, or something else?"" (RADx-UP)
- ""Are you employed?"" (RADx-rad)
- ""We would like to know about what you do-are you working now, looking for work, retired, keeping house, a student, or what?"" (RADx-Tech)
- ""Are you employed?"" (RADx-DHT)

The values for this variable are integers that come from a list of 9 permissible integer values.

The `nih_employment` data element is the result of the harmonization of other RADx program data elements: `current_employment_status` (RADx-UP); `employment` (RADx-rad); `working` (RADx-Tech); `dht_employment` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Employment,single,"NCIT:C179143
NCIT:C25172",integer,,,"""0""=[Yes - Employed] |
""1""=[No - Not Employed] |
""2""=[Student] |
""3""=[Keeping household] |
""4""=[Retired] |
""5""=[Disabled or government support] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_insurance,What kind of health insurance do you have?,"The `nih_insurance` variable records responses to the prompt, or a congruently meaning prompt, ""What kind of health insurance do you have?"".  Equivalent prompts are: 

- ""What is the primary kind of health insurance or health care plan that you have now? (Exclude plans that pay for only one type of Service (such as, nursing home care, accidents, family planning, or dental care) and plans that only provide extra cash when hospitalized.
)"" (RADx-UP)
- ""What kind of health insurance do you have?"" (RADx-rad)
- ""What insurance do you have?"" (RADx-DHT)

The values for this variable are integers that come from a list of 6 permissible integer values.

The `nih_insurance` data element is the result of the harmonization of other RADx program data elements: `hi_coverage_type` (RADx-UP); `insurance` (RADx-rad); `dht_medical_insurance_short` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Insurance Status,single,NCIT:C157356,integer,,,"""0""=[None] |
""1""=[Private] |
""2""=[Public] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
